<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,26/09/18,13:08,114950.0000000,114970.0000000,114920.0000000,114960.0000000,167
SPFB.RTS-12.18,1,26/09/18,13:09,114960.0000000,114980.0000000,114950.0000000,114980.0000000,157
SPFB.RTS-12.18,1,26/09/18,13:10,114970.0000000,115000.0000000,114940.0000000,114970.0000000,833
SPFB.RTS-12.18,1,26/09/18,13:11,114970.0000000,114970.0000000,114920.0000000,114960.0000000,542
SPFB.RTS-12.18,1,26/09/18,13:12,114970.0000000,115010.0000000,114960.0000000,115010.0000000,634
SPFB.RTS-12.18,1,26/09/18,13:13,115010.0000000,115050.0000000,115000.0000000,115050.0000000,558
SPFB.RTS-12.18,1,26/09/18,13:14,115050.0000000,115050.0000000,114980.0000000,115000.0000000,271
SPFB.RTS-12.18,1,26/09/18,13:15,115000.0000000,115030.0000000,114990.0000000,115020.0000000,615
SPFB.RTS-12.18,1,26/09/18,13:16,115020.0000000,115040.0000000,114970.0000000,115040.0000000,483
SPFB.RTS-12.18,1,26/09/18,13:17,115040.0000000,115060.0000000,114990.0000000,115040.0000000,264
SPFB.RTS-12.18,1,26/09/18,13:18,115040.0000000,115070.0000000,115020.0000000,115030.0000000,195
SPFB.RTS-12.18,1,26/09/18,13:19,115040.0000000,115060.0000000,115020.0000000,115020.0000000,295
SPFB.RTS-12.18,1,26/09/18,13:20,115040.0000000,115050.0000000,115020.0000000,115050.0000000,168
SPFB.RTS-12.18,1,26/09/18,13:21,115030.0000000,115040.0000000,114960.0000000,114970.0000000,536
SPFB.RTS-12.18,1,26/09/18,13:22,114970.0000000,114980.0000000,114940.0000000,114970.0000000,367
SPFB.RTS-12.18,1,26/09/18,13:23,114960.0000000,114970.0000000,114920.0000000,114940.0000000,215
SPFB.RTS-12.18,1,26/09/18,13:24,114940.0000000,114950.0000000,114920.0000000,114950.0000000,160
SPFB.RTS-12.18,1,26/09/18,13:25,114950.0000000,114970.0000000,114940.0000000,114970.0000000,139
SPFB.RTS-12.18,1,26/09/18,13:26,114960.0000000,114970.0000000,114940.0000000,114970.0000000,130
SPFB.RTS-12.18,1,26/09/18,13:27,114970.0000000,114980.0000000,114910.0000000,114940.0000000,206
SPFB.RTS-12.18,1,26/09/18,13:28,114930.0000000,114930.0000000,114900.0000000,114900.0000000,162
SPFB.RTS-12.18,1,26/09/18,13:29,114910.0000000,114930.0000000,114880.0000000,114930.0000000,577
SPFB.RTS-12.18,1,26/09/18,13:30,114930.0000000,114950.0000000,114910.0000000,114920.0000000,181
SPFB.RTS-12.18,1,26/09/18,13:31,114920.0000000,114920.0000000,114840.0000000,114850.0000000,557
SPFB.RTS-12.18,1,26/09/18,13:32,114860.0000000,114890.0000000,114850.0000000,114860.0000000,683
SPFB.RTS-12.18,1,26/09/18,13:33,114860.0000000,114870.0000000,114790.0000000,114790.0000000,775
SPFB.RTS-12.18,1,26/09/18,13:34,114790.0000000,114800.0000000,114730.0000000,114800.0000000,1218
SPFB.RTS-12.18,1,26/09/18,13:35,114810.0000000,114830.0000000,114800.0000000,114810.0000000,820
SPFB.RTS-12.18,1,26/09/18,13:36,114810.0000000,114850.0000000,114790.0000000,114800.0000000,577
SPFB.RTS-12.18,1,26/09/18,13:37,114800.0000000,114830.0000000,114760.0000000,114810.0000000,418
SPFB.RTS-12.18,1,26/09/18,13:38,114810.0000000,114850.0000000,114800.0000000,114850.0000000,393
SPFB.RTS-12.18,1,26/09/18,13:39,114840.0000000,114850.0000000,114810.0000000,114850.0000000,319
SPFB.RTS-12.18,1,26/09/18,13:40,114850.0000000,114860.0000000,114800.0000000,114850.0000000,291
SPFB.RTS-12.18,1,26/09/18,13:41,114840.0000000,114880.0000000,114810.0000000,114810.0000000,503
SPFB.RTS-12.18,1,26/09/18,13:42,114820.0000000,114840.0000000,114810.0000000,114810.0000000,149
SPFB.RTS-12.18,1,26/09/18,13:43,114820.0000000,114840.0000000,114810.0000000,114820.0000000,138
SPFB.RTS-12.18,1,26/09/18,13:44,114840.0000000,114850.0000000,114810.0000000,114820.0000000,270
SPFB.RTS-12.18,1,26/09/18,13:45,114810.0000000,114820.0000000,114780.0000000,114800.0000000,219
SPFB.RTS-12.18,1,26/09/18,13:46,114800.0000000,114800.0000000,114720.0000000,114770.0000000,1080
SPFB.RTS-12.18,1,26/09/18,13:47,114780.0000000,114800.0000000,114780.0000000,114790.0000000,120
SPFB.RTS-12.18,1,26/09/18,13:48,114790.0000000,114800.0000000,114770.0000000,114780.0000000,231
SPFB.RTS-12.18,1,26/09/18,13:49,114800.0000000,114800.0000000,114780.0000000,114800.0000000,88
SPFB.RTS-12.18,1,26/09/18,13:50,114800.0000000,114850.0000000,114790.0000000,114850.0000000,409
SPFB.RTS-12.18,1,26/09/18,13:51,114840.0000000,114850.0000000,114820.0000000,114840.0000000,227
SPFB.RTS-12.18,1,26/09/18,13:52,114830.0000000,114840.0000000,114740.0000000,114790.0000000,483
SPFB.RTS-12.18,1,26/09/18,13:53,114780.0000000,114800.0000000,114760.0000000,114760.0000000,131
SPFB.RTS-12.18,1,26/09/18,13:54,114760.0000000,114770.0000000,114710.0000000,114710.0000000,210
SPFB.RTS-12.18,1,26/09/18,13:55,114710.0000000,114740.0000000,114670.0000000,114730.0000000,661
SPFB.RTS-12.18,1,26/09/18,13:56,114720.0000000,114760.0000000,114700.0000000,114730.0000000,312
SPFB.RTS-12.18,1,26/09/18,13:57,114720.0000000,114730.0000000,114680.0000000,114720.0000000,473
SPFB.RTS-12.18,1,26/09/18,13:58,114720.0000000,114770.0000000,114700.0000000,114750.0000000,368
SPFB.RTS-12.18,1,26/09/18,13:59,114740.0000000,114750.0000000,114720.0000000,114740.0000000,359
SPFB.RTS-12.18,1,26/09/18,14:00,114740.0000000,114780.0000000,114720.0000000,114750.0000000,532
SPFB.RTS-12.18,1,26/09/18,14:06,114750.0000000,114790.0000000,114740.0000000,114750.0000000,577
SPFB.RTS-12.18,1,26/09/18,14:07,114750.0000000,114750.0000000,114670.0000000,114720.0000000,704
SPFB.RTS-12.18,1,26/09/18,14:08,114720.0000000,114720.0000000,114680.0000000,114720.0000000,859
SPFB.RTS-12.18,1,26/09/18,14:09,114720.0000000,114740.0000000,114710.0000000,114730.0000000,232
SPFB.RTS-12.18,1,26/09/18,14:10,114740.0000000,114750.0000000,114730.0000000,114730.0000000,323
SPFB.RTS-12.18,1,26/09/18,14:11,114740.0000000,114740.0000000,114720.0000000,114720.0000000,142
SPFB.RTS-12.18,1,26/09/18,14:12,114720.0000000,114730.0000000,114680.0000000,114680.0000000,361
